Name,SMILES
CHEMBL1721885,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1
CHEMBL3137336,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl
CHEMBL3991931,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
CHEMBL3086110,O=C1c2ccc(Nc3ccc(F)cc3F)cc2OCc2c(OC[C@H](O)CO)cccc21
CHEMBL1236962,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F
CHEMBL4079178,CS(=O)(=O)Nc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4ncccc4n3)cc2)cc1
CHEMBL4439094,O=C1NC2(CCCCC2)n2c1c(Cl)cc(Nc1ccncn1)c2=O
CHEMBL4537171,CC(C)(C)C(=O)N1N=CCC1c1cccc(F)c1
CHEMBL4514028,Cc1ccc(C2CC=NN2C(=O)C(C)(C)C)cc1F
CHEMBL4590117,CC(C)(C)C(=O)N1N=CCC1C1CCCCC1
CHEMBL4452768,CN1CCC(C2CC=NN2C(=O)C(C)(C)C)CC1
CHEMBL4457026,O=C(C1CCCC1)N1N=CCC1c1ccccc1
CHEMBL4436131,O=C(C1CCC1)N1N=CCC1c1ccccc1
CHEMBL4554458,O=C(c1cccnc1)N1N=CCC1c1ccccc1
CHEMBL4519892,O=C(c1ccccn1)N1N=CCC1c1ccccc1
CHEMBL4474320,CC(=O)N1CCC(C(=O)N2N=CC[C@H]2c2ccccc2)CC1
CHEMBL4448942,O=C(C1CCCCC1)N1CCC(C(=O)N2N=CCC2c2ccccc2)CC1
CHEMBL4548784,O=C(c1cnco1)N1CCC(C(=O)N2N=CC[C@H]2c2ccccc2)CC1
CHEMBL4454881,Cc1nnc(N2CCC(C(=O)N3N=CC[C@H]3c3ccccc3)CC2)o1
CHEMBL4541955,N#Cc1nccc(N2CCC(C(=O)N3N=CC[C@H]3c3cc(F)cc(F)c3)CC2)n1
CHEMBL4514271,N#Cc1cc(N2CCC(C(=O)N3N=CC[C@H]3c3cc(F)cc(F)c3)CC2)ncn1
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12
CHEMBL4449736,O=C1NC2(CCCCC2)n2c1c(Cl)cc(Nc1ccncc1)c2=O
CHEMBL1614701,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
CHEMBL3660794,CC(=O)SC(C)(C)c1ccc(NC(=O)c2ncc(C#N)[nH]2)c(C2=CCC(C)(C)CC2)c1
CHEMBL3085830,CN1CCN(C(C)(C)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCC(C)(C)CC3)c2)CC1
CHEMBL2152946,O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(OC[C@@H](O)CO)cc21
CHEMBL3086685,O=C(Nc1cc(Nc2ccc3c(c2)OCc2ccc(OCCN4CCOCC4)cc2C3=O)ccc1F)c1ccccc1
CHEMBL3087476,CC1(C)OC[C@H](COc2ccc3c(c2)C(=O)c2ccc(Nc4ccc(F)cc4F)cc2OC3)O1
CHEMBL1170785,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CNC(=O)NC3)cc2C2=CCCCC2)n1
CHEMBL3651304,CN=C1N(C)CC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCC(C)(C)CC3)c2)CN1C
CHEMBL3086317,CC1(C)CC=C(c2cc(C(C)(C)OCCN3CCCC3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1
CHEMBL3660797,CC1(C)CC=C(c2cc(C(C)(C)CN3C[C@@H]4OC(C)(C)O[C@@H]4C3)ccc2NC(=O)c2ncc(C#N)[nH]2)CC1
CHEMBL3085970,CC1(C)CC=C(c2cc(C(C)(C)CN3CCOCC3)ccc2NC(=O)c2ncc(C#N)[nH]2)CC1
CHEMBL3660768,CNS(=O)(=O)CCc1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCC(C)(C)CC2)c1
CHEMBL4088056,CS(=O)(=O)Nc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cccnc4n3)cc2)cc1
CHEMBL2140408,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1
CHEMBL4065928,CNC1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1
CHEMBL3544964,Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1
CHEMBL3039517,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1
CHEMBL1088751,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
CHEMBL2219422,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl
CHEMBL3603847,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)cc1
CHEMBL4876309,CCC[C@H](Nc1ncnc2nc[nH]c12)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1
CHEMBL3348923,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1
CHEMBL3813873,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
CHEMBL1084546,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
CHEMBL3408946,C[C@@H]1CN(Cc2ccc(/C=C/c3n[nH]c4cc([C@@H]5C[C@@]56C(=O)Nc5ccccc56)ccc34)cc2)C[C@H](C)O1
CHEMBL2336015,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1
CHEMBL3086693,Nc1ccc2c(c1)C(=O)c1ccc(Nc3cc(F)c(F)cc3F)cc1OC2
CHEMBL2177382,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@@H]3F)CC1)c1ccc(Cl)cc1
CHEMBL3660765,CN(C)S(=O)(=O)CCc1ccc(NC(=O)c2ncc(C#N)[nH]2)c(C2=CCCCC2)c1
CHEMBL2336325,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1
CHEMBL4102715,O=C(Nc1ccc(CCO)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3cccnc3n2)cc1
CHEMBL430574,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1
CHEMBL3544960,NC[C@@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
CHEMBL483158,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O
CHEMBL1981047,COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
CHEMBL496102,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1
CHEMBL3102951,Oc1ccc(-c2c[nH]c3ncc(-c4ccc(O)cc4O)cc23)cc1
CHEMBL3102955,Oc1ccc(-c2cnc3[nH]cc(-c4ccc(O)c(O)c4)c3c2)cc1O
CHEMBL4064842,O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3cccnc3n2)cc1
CHEMBL4092544,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cccnc3n2)cc1)Nc1cccc(CO)c1
CHEMBL3545083,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1
CHEMBL522892,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
CHEMBL3675269,COc1cccc(-c2cc(F)ccc2[C@H]2Cc3nc(N)nc(C)c3C(NOCC(=O)N(C)C)=N2)n1
CHEMBL1928692,COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NCC1CCNCC1
CHEMBL3408945,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2C
CHEMBL1928701,N#Cc1ncc(Nc2cc3cccc(Cl)c3cn2)nc1OC1CCCNC1
CHEMBL576982,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1
CHEMBL217092,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
CHEMBL2177390,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1
CHEMBL2177387,C=C[C@@H]1CCc2ncnc(N3CCN(C(=O)[C@H](CNC(C)C)c4ccc(Cl)cc4)CC3)c21
CHEMBL3660755,CC(C)(NC(N)=O)c1ccc(NC(=O)c2ncc(C#N)[nH]2)c(C2=CCCCC2)c1
CHEMBL3660760,CC(C)(C(=O)O)c1ccc(NC(=O)c2nc(C#N)c[nH]2)c(C2=CCCCC2)c1
CHEMBL3660778,N#Cc1ccc(C(=O)Nc2ccc(CCN3CCOCC3)cc2C2=CCCCC2)o1
CHEMBL3889904,N#Cc1cnc(C(=O)Nc2ccc(/C=C/C(=O)O)cc2C2=CCCCC2)[nH]1
